,Type, Floor, Area, Structure, Inarea, Architectural_type, Orientation, Building_structure, Situation, Ratio, Elevator, Years, Price, PerPrice, Region, No
69,2室2厅1厨1卫,中楼层 (共6层),47㎡,平层,暂无数据,板楼,南 西 北,砖混结构,简装,一梯三户,暂无数据,70年,66万,14043元/平米,城关区 火车站 ,
70,3室2厅1厨1卫,高楼层 (共8层),82㎡,平层,暂无数据,板楼,南 北,框架结构,精装,一梯两户,无,70年,150万,18293元/平米,城关区 火车站 ,
71,2室1厅1厨1卫,中楼层 (共7层),66㎡,平层,暂无数据,板楼,南 北,框架结构,简装,一梯三户,无,70年,75.8万,11485元/平米,城关区 雁滩高新区 ,
72,2室1厅1厨1卫,低楼层 (共18层),62.37㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯七户,有,70年,146万,23409元/平米,城关区 东方红广场 ,
73,3室2厅1厨2卫,高楼层 (共30层),136.45㎡,平层,104.86㎡,板楼,南 北,框架结构,精装,两梯三户,有,70年,135万,9894元/平米,城关区 碧桂园 ,
74,3室2厅1厨2卫,低楼层 (共26层),136.57㎡,平层,104㎡,板楼,南 北,钢混结构,精装,两梯三户,有,70年,137万,10032元/平米,城关区 碧桂园 ,
75,4室2厅1厨2卫,高楼层 (共25层),180.71㎡,平层,135.99㎡,板楼,南 北,钢混结构,精装,两梯两户,有,70年,216万,11953元/平米,城关区 碧桂园 ,
76,3室2厅1厨2卫,低楼层 (共26层),148.3㎡,平层,112.67㎡,板楼,南,框架结构,精装,两梯三户,有,70年,190万,12812元/平米,城关区 碧桂园 ,
77,2室1厅1厨1卫,低楼层 (共32层),68.58㎡,平层,56.41㎡,板楼,南,框架结构,精装,两梯七户,有,70年,89万,12978元/平米,城关区 雁滩高新区 ,
78,2室2厅1厨1卫,中楼层 (共8层),96.44㎡,平层,79.47㎡,板楼,南 北,框架结构,精装,一梯两户,有,70年,133万,13791元/平米,城关区 兰大盘旋路 ,
79,3室1厅1厨1卫,中楼层 (共8层),115.68㎡,平层,暂无数据,板楼,南 北,框架结构,精装,一梯两户,无,50年,138万,11930元/平米,城关区 雁滩高新区 ,
