,Type,Floor,Area,Structure,Inarea,Architectural_type,Orientation,Building_structure,Situation,Ratio,Elevator,Years,Price,PerPrice,Region,No,No,No
106,2室1厅1厨1卫,低楼层 (共7层),49,平层,暂无数据,板楼,南,框架结构,简装,一梯三户,无,70年,55,11225,西固区,,,
107,1室1厅1厨1卫,高楼层 (共30层),55.8,平层,暂无数据,板楼,南,钢混结构,精装,两梯十户,有,70年,68,12187,城关区,,,
108,2室2厅1厨1卫,低楼层 (共33层),72.41,平层,暂无数据,板楼,南,钢混结构,简装,一梯六户,无,70年,126,17401,安宁区,,,
109,3室0厅1厨1卫,低楼层 (共17层),76.4,平层,暂无数据,塔楼,东北,框架结构,简装,两梯六户,有,70年,140,18325,城关区,,,
110,2室2厅1厨1卫,低楼层 (共31层),90.33,平层,暂无数据,板楼,西南,框架结构,精装,三梯六户,有,70年,168,18599,城关区,,,
111,2室2厅1厨1卫,高楼层 (共7层),76.63,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,无,70年,170,22185,城关区,,,
112,2室1厅1厨1卫,低楼层 (共8层),83.2,平层,73.77㎡,板楼,东 西,钢混结构,精装,一梯两户,无,70年,95,11419,城关区,,,
113,2室2厅1厨1卫,高楼层 (共12层),99.08,平层,84.66㎡,板楼,南 北,框架结构,精装,一梯四户,无,70年,122,12314,城关区,,,
114,3室2厅1厨1卫,中楼层 (共8层),91.04,平层,80.69㎡,板楼,东 西,框架结构,简装,一梯两户,无,70年,106,11644,城关区,,,
115,2室2厅1厨1卫,中楼层 (共8层),80.79,平层,72.11㎡,板楼,东 西,框架结构,精装,一梯三户,无,70年,94,11636,城关区,,,
116,2室2厅1厨1卫,中楼层 (共34层),81.45,平层,64.64㎡,板楼,南,钢混结构,精装,一梯四户,无,70年,120,14733,安宁区,,,
117,2室2厅1厨1卫,中楼层 (共5层),75.67,平层,暂无数据,板楼,西,框架结构,简装,一梯四户,无,70年,82.7,10930,安宁区,,,
118,2室1厅1厨1卫,中楼层 (共8层),76.38,平层,68.11㎡,板楼,南,框架结构,简装,一梯四户,无,70年,73,9558,城关区,,,
119,2室2厅1厨2卫,低楼层 (共6层),100.55,平层,87.71㎡,板楼,南 北,框架结构,精装,一梯两户,无,70年,140,13924,城关区,,,
120,2室1厅1厨1卫,中楼层 (共8层),77.8,平层,暂无数据,板楼,东 西,钢混结构,精装,一梯两户,无,70年,108,13882,城关区,,,
121,2室1厅1厨1卫,高楼层 (共8层),58.74,平层,52.03㎡,板楼,南,框架结构,精装,一梯三户,无,70年,71,12088,城关区,,,
122,2室1厅1厨1卫,中楼层 (共10层),74.93,平层,暂无数据,板楼,东 西,框架结构,简装,一梯三户,有,70年,95,12679,城关区,,,
123,2室1厅1厨1卫,高楼层 (共33层),95.11,平层,75.49㎡,板楼,南,框架结构,精装,两梯四户,有,70年,120,12617,安宁区,,,
124,2室2厅1厨1卫,高楼层 (共8层),91.82,平层,79.08㎡,板楼,南 北,框架结构,精装,一梯两户,无,70年,105,11436,城关区,,,
125,2室2厅1厨1卫,中楼层 (共6层),86.44,平层,74.93㎡,板楼,南 北,框架结构,精装,一梯两户,无,70年,174.5,20188,城关区,,,
126,2室1厅1厨1卫,低楼层 (共28层),72,平层,暂无数据,板塔结合,东北,钢混结构,简装,一梯八户,无,70年,160,22223,城关区,,,
127,1室1厅1厨1卫,中楼层 (共8层),45.24,平层,2.96㎡,暂无数据,东 西,未知结构,其他,一梯三户,暂无数据,70年,75,16579,城关区,,,
128,2室2厅1厨1卫,中楼层 (共8层),81.5,平层,81.5㎡,板楼,东 西,框架结构,简装,一梯三户,无,70年,98,12025,城关区,,,
129,2室2厅1厨1卫,高楼层 (共28层),75.46,平层,暂无数据,板楼,东 北,框架结构,简装,两梯八户,有,70年,161,21336,城关区,,,
130,3室0厅0厨0卫,低楼层 (共5层),44.8,平层,暂无数据,塔楼,西南,砖混结构,简装,一梯三户,无,70年,125,27902,城关区,,,
131,2室2厅1厨1卫,高楼层 (共27层),101.2,平层,暂无数据,板楼,东北 南,框架结构,简装,两梯六户,有,70年,128,12649,城关区,,,
132,2室2厅1厨2卫,高楼层 (共7层),108,平层,105㎡,板楼,南 北,框架结构,简装,一梯两户,无,70年,116,10741,城关区,,,
133,1室1厅1厨1卫,高楼层 (共32层),74.75,平层,暂无数据,板楼,东南,框架结构,简装,一梯五户,无,70年,130,17392,城关区,,,
134,3室2厅1厨1卫,中楼层 (共30层),100,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,70年,100,10000,城关区,,,
135,4室2厅1厨1卫,低楼层 (共18层),148.35,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,70年,143,9640,城关区,,,
136,3室2厅1厨1卫,低楼层 (共27层),101,平层,暂无数据,板楼,北 南,钢混结构,毛坯,两梯四户,有,70年,96,9505,城关区,,,
137,3室2厅1厨2卫,低楼层 (共14层),142,平层,暂无数据,板楼,南 北,框架结构,毛坯,一梯三户,无,70年,284,20000,城关区,,,
138,2室1厅1厨1卫,中楼层 (共7层),55,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,无,70年,85,15455,城关区,,,
139,2室2厅1厨1卫,低楼层 (共11层),103.38,平层,87.14㎡,板楼,西北,钢混结构,简装,一梯三户,有,70年,97,9383,城关区,,,
140,3室2厅1厨2卫,高楼层 (共28层),157.97,平层,暂无数据,板楼,西南,钢混结构,简装,一梯六户,无,70年,184,11648,安宁区,,,
141,2室2厅1厨2卫,中楼层 (共33层),119.84,平层,98.26㎡,板楼,东南,钢混结构,精装,两梯四户,有,70年,182,15187,城关区,,,
142,4室2厅1厨2卫,高楼层 (共10层),173.58,平层,151.39㎡,板楼,北 南,框架结构,精装,一梯两户,无,70年,236,13597,城关区,,,
143,3室2厅1厨2卫,低楼层 (共18层),157.18,平层,150㎡,板楼,南 北,框架结构,简装,一梯四户,有,70年,178,11325,城关区,,,
