房屋户型	所在楼层	建筑面积	户型结构	套内面积	建筑类型	房屋朝向	建筑结构	装修情况	梯户比例	配备电梯	产权年限	房屋总价	每平米售价	房屋地区
4室2厅1厨3卫	高楼层 (共25层)	180㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯两户	有	70年	188万	10445元/平米	城关区 碧桂园 	
5室2厅1厨3卫	高楼层 (共23层)	340㎡	平层	暂无数据	板楼	南 北	钢混结构	毛坯	两梯两户	有	70年	340万	10000元/平米	城关区 碧桂园 	
2室2厅1厨1卫	高楼层 (共18层)	94.5㎡	平层	暂无数据	板楼	东 西	框架结构	简装	一梯三户	有	70年	116万	12276元/平米	城关区 大润发 	
2室2厅1厨1卫	中楼层 (共18层)	104㎡	平层	84.53㎡	板楼	南 北	钢混结构	简装	一梯三户	无	70年	198万	19039元/平米	城关区 北面滩 	
1室1厅1厨1卫	中楼层 (共6层)	23.98㎡	平层	23.98㎡	板塔结合	南	砖混结构	简装	一梯四户	无	70年	60万	25021元/平米	城关区 兰大盘旋路 	
2室2厅1厨1卫	高楼层 (共12层)	75.84㎡	平层	63.57㎡	塔楼	东南	框架结构	简装	一梯三户	有	70年	83.5万	11011元/平米	城关区 北面滩 	
2室1厅1厨1卫	低楼层 (共9层)	72.55㎡	平层	暂无数据	板楼	南 北	混合结构	简装	一梯三户	无	70年	76.9万	10600元/平米	安宁区 交大 	
2室1厅1厨1卫	中楼层 (共6层)	53㎡	平层	暂无数据	暂无数据	南 北	未知结构	毛坯	一梯三户	暂无数据	70年	64万	12076元/平米	七里河区 秀川 	
2室2厅1厨1卫	高楼层 (共7层)	80.51㎡	平层	73.75㎡	板楼	南 北	框架结构	精装	一梯两户	无	70年	94万	11676元/平米	城关区 雁滩高新区 	
3室2厅1厨2卫	高楼层 (共9层)	144.06㎡	平层	144.06㎡	板楼	南 北	钢混结构	简装	一梯两户	无	70年	170万	11801元/平米	七里河区 吴家园 	
3室2厅1厨1卫	中楼层 (共6层)	129.3㎡	平层	109.15㎡	板楼	南 北	钢混结构	精装	一梯三户	无	70年	144万	11137元/平米	城关区 北面滩 	
3室2厅1厨1卫	中楼层 (共28层)	147.21㎡	平层	115.96㎡	平房	南 北	框架结构	精装	一梯四户	有	70年	196万	13315元/平米	城关区 北面滩 	
